"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2019년 10월 15일","2,995.68","2,973.61","3,003.28","2,973.61","-","1.00%"
"2019년 10월 14일","2,966.15","2,965.81","2,972.84","2,962.94","-","-0.14%"
"2019년 10월 11일","2,970.27","2,963.07","2,993.28","2,963.07","-","1.09%"
"2019년 10월 10일","2,938.13","2,918.55","2,948.46","2,917.12","-","0.64%"
"2019년 10월 09일","2,919.40","2,911.10","2,929.32","2,907.41","-","0.91%"
"2019년 10월 08일","2,893.06","2,920.40","2,925.47","2,892.66","-","-1.56%"
"2019년 10월 07일","2,938.79","2,944.23","2,959.75","2,935.68","-","-0.45%"
"2019년 10월 04일","2,952.01","2,918.56","2,953.74","2,918.56","-","1.42%"
"2019년 10월 03일","2,910.63","2,885.38","2,911.13","2,855.94","-","0.80%"
"2019년 10월 02일","2,887.61","2,924.78","2,924.78","2,874.93","-","-1.79%"
"2019년 10월 01일","2,940.25","2,983.69","2,992.53","2,938.70","-","-1.23%"
"2019년 09월 30일","2,976.74","2,967.07","2,983.85","2,967.07","-","0.50%"
"2019년 09월 27일","2,961.79","2,985.47","2,987.31","2,945.53","-","-0.53%"
"2019년 09월 26일","2,977.62","2,985.73","2,987.28","2,963.71","-","-0.24%"
"2019년 09월 25일","2,984.87","2,968.35","2,989.82","2,952.86","-","0.62%"
"2019년 09월 24일","2,966.60","3,002.43","3,007.98","2,957.73","-","-0.84%"
"2019년 09월 23일","2,991.78","2,983.50","2,999.15","2,982.23","-","-0.01%"
"2019년 09월 20일","2,992.07","3,008.42","3,016.37","2,984.68","-","-0.49%"
"2019년 09월 19일","3,006.79","3,010.36","3,021.99","3,003.16","-","0.00%"
"2019년 09월 18일","3,006.73","3,001.50","3,007.83","2,978.57","-","0.03%"
"2019년 09월 17일","3,005.70","2,995.67","3,006.21","2,993.73","-","0.26%"
"2019년 09월 16일","2,997.96","2,996.41","3,002.19","2,990.67","-","-0.31%"
"2019년 09월 13일","3,007.39","3,012.21","3,017.33","3,002.90","-","-0.07%"
"2019년 09월 12일","3,009.57","3,009.08","3,020.74","3,000.92","-","0.29%"
"2019년 09월 11일","3,000.93","2,981.41","3,000.93","2,975.31","-","0.72%"
"2019년 09월 10일","2,979.39","2,971.01","2,979.39","2,957.01","-","0.03%"
"2019년 09월 09일","2,978.43","2,988.43","2,989.43","2,969.39","-","-0.01%"
"2019년 09월 06일","2,978.71","2,980.33","2,985.03","2,972.51","-","0.09%"
"2019년 09월 05일","2,976.00","2,960.60","2,985.86","2,960.60","-","1.30%"
"2019년 09월 04일","2,937.78","2,924.67","2,938.84","2,921.86","-","1.08%"
"2019년 09월 03일","2,906.27","2,909.01","2,914.39","2,891.85","-","-0.69%"
"2019년 08월 30일","2,926.46","2,937.09","2,940.43","2,913.32","-","0.06%"
"2019년 08월 29일","2,924.58","2,910.37","2,930.50","2,905.67","-","1.27%"
"2019년 08월 28일","2,887.94","2,861.28","2,890.03","2,853.05","-","0.65%"
"2019년 08월 27일","2,869.16","2,893.14","2,898.79","2,860.59","-","-0.32%"
"2019년 08월 26일","2,878.38","2,866.70","2,879.27","2,856.00","-","1.10%"
"2019년 08월 23일","2,847.11","2,911.07","2,927.01","2,834.97","-","-2.59%"
"2019년 08월 22일","2,922.95","2,930.94","2,939.08","2,904.51","-","-0.05%"
"2019년 08월 21일","2,924.43","2,922.04","2,928.73","2,917.91","-","0.82%"
"2019년 08월 20일","2,900.51","2,919.01","2,923.63","2,899.60","-","-0.79%"
"2019년 08월 19일","2,923.65","2,913.48","2,931.00","2,913.48","-","1.21%"
"2019년 08월 16일","2,888.68","2,864.74","2,893.63","2,864.74","-","1.44%"
"2019년 08월 15일","2,847.60","2,846.20","2,856.67","2,825.51","-","0.25%"
"2019년 08월 14일","2,840.60","2,894.15","2,894.15","2,839.64","-","-2.93%"
"2019년 08월 13일","2,926.32","2,880.72","2,943.31","2,877.05","-","1.48%"
"2019년 08월 12일","2,883.75","2,907.07","2,907.58","2,873.14","-","-1.20%"
